3CRR_name IAU_name Redshift Flux178MHz_Jy Sp_index  FR_class Flux5GHzcore_mJy Best_radio_map 
NGC6251   1637+826 0.024    11.6         0.72      1        350             [108]            
3C346     1641+173 0.162    11.9         0.52      1        220             [506]            
3C345     1641+399 0.594    11.8         0.27      0        8610            [644]            
3C349     1658+471 0.205    14.5         0.74      2        25              [601,522]        
3C351     1704+608 0.371    14.9         0.73      2        6.5             [504]            
3C352     1709+460 0.806    12.3         0.88      2        3.18            [503]            
3C356     1723+510 1.079    12.3         1.02      2        1.1             [528]            
4C16.49   1732+160 1.296    11.4         1.0       2        16              [523]            
4C13.66   1759+137 1.450    12.3         0.81      2        <2              [302]            
3C368     1802+110 1.132    15.0         1.24      2        <0.21           [640]            
3C380     1828+487 0.691    64.7         0.71      1        7447            [171]            
3C381     1832+474 0.1605   18.1         0.81      2        5               [601,522]        
3C382     1833+326 0.0578   21.7         0.59      2        188             [601,646]        
3C386     1836+171 0.0177   26.1         0.59      1        120             [601]            
3C388     1842+455 0.0908   26.8         0.70      2        62              [647]            
3C390.3   1845+797 0.0569   51.8         0.75      2        330             [648]            
3C401     1939+605 0.201    22.8         0.71      2        32              [506,522]        
3C427.1   2104+763 0.572    29.0         0.97      2        0.8             [533]            
3C432     2120+168 1.805    12.0         0.98      2        7.5             [504]            
3C433     2121+248 0.1016   61.3         0.75      2        5               [646]            
3C436     2141+279 0.2145   19.4         0.86      2        19              [506,522]        
3C437     2145+151 1.480    15.9         0.79      2        <0.12           [503]            
3C438     2153+377 0.290    48.7         0.88      2        7.1             [506,522]        
3C441     2203+292 0.708    13.7         0.83      2        3.5             [505]            
3C442A    2212+135 0.027    17.5         0.96      1        2               [649]            
3C449     2229+390 0.0171   12.5         0.58      1        37              [506,650]        
3C452     2243+394 0.0811   59.3         0.78      2        130             [646]            
NGC7385   2247+113 0.0243   11.7         0.75      1        121             [506,539]        
3C454     2249+185 1.757    12.6         0.90      0        <200            [531]            
3C454.3   2251+158 0.859    14.2         0.04      0        12200           [651]            
3C455     2252+129 0.5427   14.0         0.71      2        1.4             [519]            
3C457     2309+184 0.428    14.3         1.01      2        2.1             [601,533]        
3C465     2335+267 0.0293   41.2         0.75      1        270             [506,652]        
3C469.1   2352+796 1.336    12.1         0.96      2        2.6             [653]            
3C470     2356+438 1.653    11.0         0.77      2        2.0             [503]            
